Team Name,Year,Blocked Shots Per Game,Scoring Margin,Three Pt FG Defense,Turnovers Per Game,Field-Goal Percentage,Won-Lost Percentage,Scoring Offense,Rebound Margin,Three-Point Field-Goal Percentage,Field-Goal Percentage Defense,Free-Throw Percentage,Assists Per Game,Turnover Margin,Scoring Defense,Three-Point Field Goals Per Game,Personal Fouls Per Game,Steals Per Game,Qualify Prediction,Probability Yes,Probability No
Minnesota,2019,4.5,7.8,34.3,13.6,44,85.7,75,7.4,31.3,42.2,67.5,15.1,-0.6,67.2,5.4,0,5.2,No,0.4556807393,0.5443192607
Gonzaga,2019,5.3,22.7,30.2,11.7,53.3,86.7,93.7,6,37.9,39.5,75.6,19.3,2.2,71.1,8.9,2,7.7,No,0.4465917171,0.5534082829
Lipscomb,2019,2.5,15.6,32.1,13.2,48.9,69.2,85.8,2.3,33.9,40.9,76.8,17.8,4.2,70.2,7.8,3,8.4,No,0.444047944,0.555952056
Seattle U,2019,4.1,11.8,33.1,12.1,47.3,75,81.4,4.8,39.6,39.6,71.2,13,0.4,69.6,8.1,0,4.9,No,0.4413202149,0.5586797851
North Carolina,2019,3.7,17.2,32.5,14.1,48.1,76.9,90.3,11.5,36.4,41,75,19.4,1.9,73.1,8.2,3,7.9,No,0.4356169525,0.5643830475
The Citadel,2019,3.9,11.8,33.8,12.9,48.7,69.2,97.7,-0.2,37.1,43.9,74.3,18.5,1.7,85.8,13.8,6,7.8,No,0.4292795168,0.5707204832
San Francisco,2019,3.5,17.5,28.5,10.1,47.4,86.7,78.1,8.3,33.8,39.2,65.1,14.3,2.5,60.7,8,5,6.9,No,0.4249576238,0.5750423762
Lehigh,2019,1.5,2.5,32.2,13.7,46.9,66.7,77.6,-2.2,46.7,39.4,76.8,15.4,-2,75.1,10,2,5.6,No,0.4247155198,0.5752844802
Georgetown,2019,4.2,7,33.8,14.7,46.1,78.6,82.5,5.4,36.2,42.2,72.7,17,-0.8,75.5,8.1,1,6.3,No,0.4214472057,0.5785527943
Kentucky,2019,5.8,13.7,38,14.2,49.3,83.3,83.1,11.8,36,42.3,74.4,14.6,0.8,69.4,6.4,4,6.6,No,0.4202125884,0.5797874116
Texas St.,2019,2.6,16.6,28.8,14.4,47.8,85.7,77.1,8.2,37,37.7,67.2,17.4,1.9,60.5,7.9,3,7.7,No,0.4193149391,0.5806850609
Florida St.,2019,3.6,12.9,32.3,15.3,47,92.3,81.3,6.1,34.2,42.5,74.8,12.7,2.2,68.4,7.2,3,8.7,No,0.4182561155,0.5817438845
North Texas,2019,2.9,16.1,30.4,12.6,48.6,93.3,77.6,5.9,38.8,39.7,69.4,14.3,1.7,61.5,9.2,4,7.2,No,0.4085829882,0.5914170118
Utah St.,2019,4.4,13.6,30.6,14.4,46.5,71.4,78.9,10.9,32.6,36.2,75.7,15.8,-0.8,65.4,6.6,3,7.4,No,0.3997803173,0.6002196827
Abilene Christian,2019,2.7,15.2,33.5,12.4,49.4,85.7,76.8,4,40,43.4,69.7,15.8,5.4,61.6,7.3,5,9.3,No,0.3991587508,0.6008412492
Hofstra,2019,3.2,15.4,30.7,11.7,49.1,80,82.2,5.1,38.3,42.7,78.8,14.4,1.9,66.8,8.5,1,6.9,No,0.3977396329,0.6022603671
Loyola Marymount,2019,2.5,10.4,27.3,13.6,44.7,80,70.8,6.5,31,40,76.4,13.3,2,60.4,5.5,2,7.2,No,0.3976881656,0.6023118344
South Dakota St.,2019,2,12.8,30.9,11.9,50.7,64.7,85.8,5.9,42.3,40.3,76.6,14.4,-0.8,73.1,9.6,9,5.6,No,0.3975301036,0.6024698964
Oklahoma,2019,4.1,9.2,31.3,13.8,45.7,84.6,75.5,5.4,35.7,37.8,66.7,13.2,-0.8,66.4,7.1,2,5.7,No,0.3930809338,0.6069190662
Fresno St.,2019,4.3,14,30.2,13.3,46.9,76.9,79.5,2.5,37.5,40.2,74.2,16,2.2,65.5,9.6,2,7.8,No,0.3924205932,0.6075794068
Yale,2019,3.4,7.5,30.7,15.5,49.6,72.7,82.8,6,37.2,41,68.8,18.7,-3.2,75.4,8.5,0,5.4,No,0.382183393,0.617816607
Col. of Charleston,2019,2.7,7.8,31.6,10.4,47,86.7,74.3,0.5,31.3,43.7,76,11.1,3.1,66.5,6.4,0,6.7,No,0.3759404112,0.6240595888
NC State,2019,3.8,23.2,28.4,14.1,52.1,92.9,89.2,10.9,40.9,42.4,69.4,18.1,4.3,66,8.9,3,7.8,No,0.3748469433,0.6251530567
Kansas,2019,4,11.5,31.3,12.9,48.1,92.3,80.8,3.6,34.4,39.6,68.4,15.2,2,69.3,6.8,2,7.7,No,0.3704779006,0.6295220994
Central Mich.,2019,4.2,13.9,30.7,12.8,47.5,84.6,88,2.5,34.9,43.6,65.3,13.7,4.8,74.1,8.2,3,9.4,No,0.3686870172,0.6313129828
UNC Greensboro,2019,3.1,14.9,32.9,11.4,48.7,86.7,80,0.9,35.5,42.5,71.9,13.7,6,65.1,8,6,8.5,No,0.3595748265,0.6404251735
Davidson,2019,2.8,5.9,36.2,11.9,45.4,69.2,75.2,1.9,34,41.5,77.5,15.2,0.6,69.3,9.8,1,5.2,No,0.3541155038,0.6458844962
Ball St.,2019,4.1,11.9,30.8,13,51.1,71.4,84.1,5.1,38.4,40.9,73.2,15.1,-0.8,72.2,7.5,0,5.8,No,0.3536172126,0.6463827874
Jacksonville St.,2019,4.6,8.9,34,13.1,44.8,64.3,76.5,4.1,30.4,40.1,72.8,13.9,3.3,67.6,5.5,6,8.8,No,0.3533349901,0.6466650099
Winthrop,2019,3.1,9.3,32.9,17.1,48.4,61.5,89.4,4.5,39.6,43.3,77,16.8,-3.2,80.1,12.7,3,5.3,No,0.3514525988,0.6485474012
Temple,2019,2.2,5.3,36.7,11.1,44.2,76.9,73.8,0,31.3,45.5,72.7,15.3,4.6,68.5,7.2,0,9.4,No,0.3504613952,0.6495386048
Iowa,2019,3.9,10.1,30.6,12.8,47.2,78.6,82.2,3.4,35.5,44,74.6,16.2,1.1,72.1,8.4,0,6.3,No,0.3501347404,0.6498652596
Georgia Tech,2019,5.2,9.5,27.3,14.6,45.2,61.5,71.3,1.5,30.5,38.2,72,14.8,0.8,61.8,5.8,4,7.7,No,0.3466581414,0.6533418586
Vanderbilt,2019,5.1,12.7,31.9,13.2,47.3,75,82.9,5.8,34.8,39.6,72.6,14.3,-1,70.3,8.4,1,4.8,No,0.3416052748,0.6583947252
Ohio,2019,3.9,1.3,33.4,17,45,66.7,74.3,8.1,28.9,43.5,67.1,14.8,-2.1,73,5.6,1,7.4,No,0.3415005598,0.6584994402
UCF,2019,5.4,12.7,32.8,11.3,48.7,84.6,76.5,5.2,37.1,38.5,62.8,14.4,0.8,63.8,7.1,0,5.2,No,0.3367764359,0.6632235641
Oregon,2019,4.5,9.5,28.7,12.2,45.9,69.2,72.1,3.2,34.3,37.4,76.4,14,0.5,62.5,7,2,6.9,No,0.3342091332,0.6657908668
Ga. Southern,2019,4.1,8.3,34,13.9,50.4,57.1,86,-0.8,30.4,45.4,65,13.6,4.1,77.7,6.4,3,8.3,No,0.3339709194,0.6660290806
Stony Brook,2019,4,5.4,32.4,13.9,42.9,80,75,6.8,35.8,41.5,73.4,10.9,-1,69.6,7.3,6,5.7,No,0.3238155014,0.6761844986
Belmont,2019,4.9,9.4,31.5,12.3,47.4,75,85.8,2.1,35.8,42.2,70.1,19.7,1.3,76.4,10.3,1,8.3,No,0.3149344341,0.6850655659
Arkansas,2019,6.2,11.6,30.3,13.3,46,75,81.8,-1.5,35.6,38.8,65.8,18.1,3.5,70.3,8,4,8.8,No,0.3078844986,0.6921155014
Wisconsin,2019,3.9,11.8,31.3,9.4,48.6,71.4,74.7,2,37.8,41.1,67.4,13.6,2.6,62.9,7.8,2,5.6,No,0.3066495677,0.6933504323
Fla. Atlantic,2019,3,4.1,29.4,15.9,41.6,64.3,73.2,5.5,30.5,40.8,71,13.5,-1.6,69.1,8.6,2,6.2,No,0.3057982205,0.6942017795
Utah Valley,2019,2.6,4.5,35.4,13.2,47.7,68.8,76.4,3.5,36.5,42.3,70.6,13.8,-1.6,71.9,7.6,1,5.9,No,0.3021281186,0.6978718814
Drake,2019,4.1,7.9,29.2,13.4,47.6,78.6,81.2,1,34.7,41.8,72.9,17.6,0.1,73.3,9.4,6,5.9,No,0.3015596565,0.6984403435
Pittsburgh,2019,4.3,15.2,27.5,14.2,46.3,76.9,77.4,2.8,34.6,37.3,73.4,13.8,3.5,62.2,6.9,1,7.4,No,0.3010296074,0.6989703926
Weber St.,2019,4.3,9.1,33.7,12.1,47.5,64.3,82.2,1.6,35.5,42.5,73.8,11.9,-0.1,73.1,7.3,3,5.3,No,0.2983482715,0.7016517285
Indiana,2019,4.6,14.4,29.6,14.6,52.6,85.7,78.5,3.8,36,40.2,64.4,15.6,0.8,64.1,6.4,0,7,No,0.2956025045,0.7043974955
VCU,2019,4.4,5.9,26.5,14.5,40.9,69.2,69.5,-2,29,37.9,67,13.3,2.5,63.6,7.6,0,8.3,No,0.2903979174,0.7096020826
Kent St.,2019,3.2,8.3,31.4,11.1,44.5,84.6,78.2,2.1,37.3,43.8,72.4,14.9,3.2,69.9,8.5,2,7.2,No,0.2890562786,0.7109437214
Villanova,2019,3.1,8.9,33.3,12.4,44.8,71.4,75,3.7,34.9,44.3,73,13.9,0.9,66.1,10.1,2,5.5,No,0.2885985075,0.7114014925
Purdue,2019,3.7,10.1,36.9,11.3,46.2,64.3,78.9,6.2,37.2,43.1,75,15.1,2.4,68.8,10.7,1,5.8,No,0.2885018391,0.7114981609
Austin Peay,2019,3.2,12.7,29.6,14,48.1,64.3,83.5,4.4,36.9,43.1,71,13.9,3.9,70.8,7.6,7,8.1,No,0.285348472,0.714651528
SMU,2019,3.6,9.9,33.6,11.4,46.2,71.4,76.4,5.3,36,42.4,70.4,15,2.6,66.4,8.5,0,7.4,No,0.2819473149,0.7180526851
Colorado,2019,4.2,9.8,31.1,14.2,46.2,69.2,77.8,7.1,34,42.3,72.5,12.4,-0.2,68.1,6.9,2,5.8,No,0.2800997133,0.7199002867
Baylor,2019,6.4,10.1,31.4,14.5,44.9,66.7,70.5,6.3,29,38.2,64.5,13.2,0.8,60.4,6.5,3,7.1,No,0.278183323,0.721816677
Buffalo,2019,4.9,14.5,31.5,11.7,46.3,92.9,83.5,2.7,34.3,40.8,69.6,17.4,4.4,69,9.5,3,7,No,0.2705789974,0.7294210026
TCU,2019,4.3,15.4,28.3,12.4,49.4,91.7,80.2,5.2,34.6,39.5,69.9,20.1,3,64.8,7.7,1,7.3,No,0.2694547028,0.7305452972
Georgia St.,2019,4.9,3.9,35.2,12.3,46.8,71.4,77.1,-5.8,38.6,43.4,65.4,12.5,3.7,73.2,9.4,3,9,No,0.2642699536,0.7357300464
Penn,2019,2.4,7.9,32.5,13.7,47.1,71.4,76.5,0.7,37.6,43.2,62.6,16.1,0.9,68.6,9.2,1,7.4,No,0.2634565767,0.7365434233
Furman,2019,4.2,13.1,33.1,12.1,47.1,86.7,79.2,2.9,35.4,42.6,66.9,16.7,3,66.1,10.3,4,9,No,0.2629651221,0.7370348779
Northwestern,2019,4.5,9.2,28.9,11.7,43.4,64.3,72.2,0.9,33.5,42.8,72.3,16.1,2.7,63,7.6,1,5.6,No,0.2576201437,0.7423798563
Samford,2019,3.8,7.4,31.2,14.9,48.1,68.8,77.6,1.8,39.1,39.2,72.6,13.9,-1.2,70.2,7.5,2,7.2,No,0.2562426939,0.7437573061
Holy Cross,2019,4,2,29.8,11.1,46.7,71.4,68.4,-6.5,36.4,44.1,69.4,17.9,3.2,66.4,7.3,6,6.6,No,0.2560696267,0.7439303733
San Diego,2019,2.9,8.1,31.4,12.8,47.9,68.8,76.3,3.7,35.4,44.1,73.9,16.2,-0.1,68.2,8.1,8,5.3,No,0.2518755024,0.7481244976
NJIT,2019,2.6,4.7,30.9,11.9,44.7,80,72.8,-1.3,33.2,41.4,70.2,10.5,1.3,68.1,6.6,3,6.7,No,0.2461655154,0.7538344846
Duquesne,2019,4.3,3.5,36.9,15.6,42.5,69.2,74.6,-0.6,31.8,43.3,71.3,14.9,2.2,71.2,8.3,6,9.5,No,0.2454708181,0.7545291819
Seton Hall,2019,4.5,6.3,32.8,11.1,45.5,78.6,75.8,-1,32.6,42.5,70.6,13.9,3.6,69.5,6.6,4,6.9,No,0.2443769494,0.7556230506
New Mexico St.,2019,1.9,10.9,35.6,11.4,44.2,73.3,78.4,8.7,31.5,43.8,68.5,13.8,2.9,67.5,8.9,1,5.9,No,0.2405967145,0.7594032855
Longwood,2019,2.4,6.1,32.9,15.7,43,66.7,70.4,4.9,35.5,38.6,72.2,12.3,-1.3,64.3,9.9,1,7.1,No,0.2397300129,0.7602699871
Montana,2019,3,7.6,33.7,13.1,49.4,71.4,75.4,0,37.5,42,66.4,13.5,1.9,67.8,8.5,5,6.9,No,0.2381189485,0.7618810515
UConn,2019,5.3,8.6,31.4,14.1,47.1,64.3,80.4,1.6,35,43.4,68.3,13.9,3.3,71.7,7.6,2,7.7,No,0.2340844597,0.7659155403
